Service,Country,Position,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Amazon,Bulgaria,3|0.05,3,2263,0.050000,14.00,21.00
Amazon,Bulgaria,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Bulgaria,3|0.226,3,"2579,2750,3309,3330,3370,3371,3393",0.226000,63.28,88.59
Amazon,Bulgaria,3|0.063,3,2738,0.063000,17.64,26.46
Amazon,Bulgaria,2|0.118,2,3193,0.118000,33.04,49.56
Amazon,Bulgaria,3|0.066,3,3237,0.066000,18.48,27.72
Amazon,Libya,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Libya,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Mauritius,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Mauritius,3|0.192,3,"2579,3309,3370,3371,3393",0.192000,53.76,75.26
Amazon,Mauritius,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Turkmenistan,3|0.203,3,"2579,3309,3370,3371,3393",0.203000,56.84,79.58
Amazon,Turkmenistan,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Turkmenistan,3|0.094,3,3182,0.094000,26.32,39.48
Amazon,Azerbaijan,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Azerbaijan,3|0.231,3,"2579,3309,3330,3370,3393",0.231000,64.68,90.55
Amazon,Azerbaijan,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Azerbaijan,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Azerbaijan,3|0.106,3,3371,0.106000,29.68,44.52
Amazon,Mali,3|0.118,3,"2217,3193",0.118000,33.04,49.56
Amazon,Mali,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Mali,3|0.136,3,"2750,3309,3370,3371,3393",0.136000,38.08,57.12
Amazon,Mali,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Mali,3|0.011,3,3168,0.011000,3.08,4.62
Amazon,Rwanda,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Rwanda,3|0.094,3,3182,0.094000,26.32,39.48
Amazon,Rwanda,3|0.136,3,"3309,3370,3371,3393",0.136000,38.08,57.12
Amazon,Gabon,3|0.094,3,"2266,3182",0.094000,26.32,39.48
Amazon,Gabon,3|0.203,3,"2579,2750,3160,3309,3370,3393",0.203000,56.84,79.58
Amazon,Gabon,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Gabon,3|0.118,3,3193,0.118000,33.04,49.56
Amazon,Gabon,3|0.1,3,3371,0.100000,28.00,42.00
Amazon,Sudan,3|0.288,3,"2750,3193,3309,3370,3371,3393",0.288000,80.64,112.90
Amazon,Sudan,3|0.099,3,3001,0.099000,27.72,41.58
Amazon,Sudan,3|0.216,3,3168,0.216000,60.48,84.67
Amazon,Sudan,3|0.094,3,3182,0.094000,26.32,39.48
Amazon,Spain,3|0.4,3,"2579,3309,3330,3370",0.400000,112.00,140.00
Amazon,Spain,1|0.335,1,2750,0.335000,93.80,131.32
